molecule,pocket_name,smiles,Ro5,qed,sas,sas0-1,logp,tpsa,np,weight
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9040>,7d5u,O=C(NCC(=O)N1C(C(=O)O)CCC1c1ccccc1)C(S)Cc1ccccc1,5,0.6099940883400593,3.322941044598217,0.74,2.4606000000000003,86.71000000000001,-0.31418438167334484,412.5110000000001
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9b30>,7d5u,O=C(NCCNC(=O)c1ccc(Cl)s1)c1ccc(-n2ccccc2=O)cc1,5,0.6230598320689966,2.171479608191669,0.87,2.712200000000001,80.2,-1.7260088574831856,401.8750000000001
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9a50>,7d5u,O=C(NC1CCCCC1)C1C=C(c2ccc(OP(=O)(O)O)cc2)N1,5,0.6032200490883377,3.122488113715348,0.76,1.9196999999999997,107.89000000000001,0.042606619478854156,352.32700000000017
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9c80>,7d5u,O=C(NCC1CN(c2ccc(N3CCOCC3)cc2)C(=O)O1)c1ccc(Cl)cc1,5,0.812558175399786,2.5848317287043194,0.82,2.931800000000001,71.11,-1.5778450429121715,415.87700000000007
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9970>,7d5u,O=C(NCCNC(=O)c1ccc(Cl)s1)c1ccc(-n2ccccc2=O)cc1,5,0.6230598320689966,2.171479608191669,0.87,2.712200000000001,80.2,-1.7260088574831856,401.8750000000001
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9c10>,7d5u,O=C(NCC(=O)N1C(C(=O)O)CCC1c1ccccc1)C(S)Cc1ccccc1,5,0.6099940883400593,3.322941044598217,0.74,2.4606000000000003,86.71000000000001,-0.31418438167334484,412.5110000000001
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9d60>,7d5u,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)C1CC1c1cccnc1,5,0.7351155481962645,2.7449258056510466,0.81,3.656600000000002,76.13,-1.450362504103852,378.4530000000001
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9dd0>,7d5u,O=C(NCCNC(=O)c1ccc(Cl)s1)c1ccc(-n2ccccc2=O)cc1,5,0.6230598320689966,2.171479608191669,0.87,2.712200000000001,80.2,-1.7260088574831856,401.8750000000001
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9cf0>,7d5u,O=C(c1ccc(C(O)(O)C(F)(F)F)s1)N1CCn2c(-c3ccccc3)cnc2C1,5,0.6352941538885022,2.997206801863106,0.78,2.9673000000000007,78.59,-1.0684049930355521,423.4160000000001
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9f20>,7d5u,O=C(NCCNC(=O)c1ccc(Cl)s1)c1ccc(-n2ccccc2=O)cc1,5,0.6230598320689966,2.171479608191669,0.87,2.712200000000001,80.2,-1.7260088574831856,401.8750000000001
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9eb0>,7d5u,O=C(NCC(=O)N1C(C(=O)O)CCC1c1ccccc1)C(S)Cc1ccccc1,5,0.6099940883400593,3.322941044598217,0.74,2.4606000000000003,86.71000000000001,-0.31418438167334484,412.5110000000001
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9f90>,7d5u,O=C(c1ccc(F)c(O)c1)c1cccc(-c2cccc(O)c2F)n1,5,0.7202156327822011,2.399152436596218,0.84,3.669000000000001,70.42,-0.45242789595734584,327.28600000000006
<rdkit.Chem.rdchem.Mol object at 0x7f7f720f9ba0>,7d5u,O=C(NCCNC(=O)c1ccc(Cl)s1)c1ccc(-n2ccccc2=O)cc1,5,0.6230598320689966,2.171479608191669,0.87,2.712200000000001,80.2,-1.7260088574831856,401.8750000000001
<rdkit.Chem.rdchem.Mol object at 0x7f7f4c59a0b0>,7d5u,COc1ccc(S(=O)(=O)NC(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,5,0.695747213462019,1.8811756705657814,0.9,0.8530000000000002,144.66,-1.3879605269880122,385.4230000000001
