,smiles,affinity_value
7dpu_16,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(C1=C(O)C3CCCC3N(Cc3ccc(F)cc3)C1=O)=N2,-11.1
7dpu_9,CN1CCc2nc(C(=O)NC3CCCCC3NC(=O)c3cc4cc(Cl)ccc4[nH]3)sc2C1,-10.9
7dpu_8,CN1CCc2nc(C(=O)N3CCN(S(=O)(=O)c4ccc5cc(Cl)ccc5c4)CC3C(N)=O)sc2C1,-10.8
7dpu_47,O=C1C(NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CCN1c1ccc(C2CCCN2)cc1F,-10.7
7dpu_34,O=C(NC1CCCCC1NC(=O)c1ccc(-n2ccccc2=O)cc1)C1=CC=C2C(Cl)=CN=C2C1,-10.5
7dpu_46,O=C(O)c1ccc2cc(C3=NC=CC3)cc(-c3cccc4ccccc34)c2n1,-10.4
7dpu_6,CN1C=CC2=NC(C(=O)Nc3ccccc3NC(=O)C3=CC4C=C(Cl)C=CC4=N3)SC2=C1,-10.3
7dpu_19,Cc1cc(C)c(C)c(S(=O)(=O)Nc2ccc(N3CCC(C(=O)O)C3)c3ccccc23)c1C,-10.2
7dpu_38,O=C(O)C1CCCCC1C(=O)N1CCc2ccccc2C1CN1C(=O)c2ccccc2C1=O,-10.2
7dpu_48,O=C1C(NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CCN1c1ccc2c(c1F)CCNC2,-10.2
