molecule,smiles,Ro5,qed,sas,sas0-1,logp,tpsa,np,weight,validity,unique,novelty,diversity
<rdkit.Chem.rdchem.Mol object at 0x7f9b985ebba0>,COc1cc(C(=O)NN=C2CCCCC2)ccc1C,5,0.849107952598362,2.088051507627082,0.88,3.0535200000000016,50.69,-1.290884316419032,260.33699999999993,0.83594,0.83594,0.95327,0.81057
<rdkit.Chem.rdchem.Mol object at 0x7f9b985ebb30>,Cc1ccc(CNC(=O)c2ccc3cccc(N)c3n2)o1,5,0.7230773344570207,2.2037628512014003,0.87,2.6484199999999998,81.15,-1.448796299982948,281.31500000000005,0.83594,0.83594,0.95327,0.81057
<rdkit.Chem.rdchem.Mol object at 0x7f9b985ebc10>,CCC1CCN(CC(=O)N2N=C(c3cccs3)CC2c2cccc(OC)c2O)CC1,5,0.7480370676680456,2.9892130607237384,0.78,4.262000000000004,65.37,-1.3605093417272835,427.5700000000003,0.83594,0.83594,0.95327,0.81057
<rdkit.Chem.rdchem.Mol object at 0x7f9b985ebcf0>,COc1cc(C=C2C(=O)OCC2=Cc2ccccc2)cc(OC)c1OC,5,0.6060916153887689,2.420720549754721,0.84,3.736200000000003,53.99000000000001,0.3229651952094962,352.38600000000014,0.83594,0.83594,0.95327,0.81057
<rdkit.Chem.rdchem.Mol object at 0x7f9b985ebd60>,Cc1cn2c(n1)N(CC(O)CN1CCN(C)CC1)C(=O)C(C)(C)S2,5,0.8464753942267432,3.7617932175667192,0.69,0.4213200000000006,64.84,-1.0202398739284502,353.4920000000001,0.83594,0.83594,0.95327,0.81057
<rdkit.Chem.rdchem.Mol object at 0x7f9b985ebdd0>,NC(=O)c1cn(Cc2ccc(CBr)cc2)c2cc(-c3cccnc3)ccc2c1=O,5,0.46720339586899856,2.334477711141245,0.85,4.1056000000000035,77.98,-0.971078393852183,448.32000000000016,0.83594,0.83594,0.95327,0.81057
<rdkit.Chem.rdchem.Mol object at 0x7f9b985ebeb0>,CC(C)(C)OC(=O)Nc1nc2ccc(F)cc2s1,5,0.8558350035282144,2.0106217054267663,0.89,3.7824000000000018,51.22,-2.59066877752099,268.313,0.83594,0.83594,0.95327,0.81057
<rdkit.Chem.rdchem.Mol object at 0x7f9b985ebf20>,Clc1ccc2c(NCCCc3ccccc3)ccnc2c1,5,0.6750742885445608,1.8115508164619456,0.91,4.932900000000004,24.92,-1.1627274149094902,296.80100000000004,0.83594,0.83594,0.95327,0.81057
<rdkit.Chem.rdchem.Mol object at 0x7f9b985ebf90>,CCOC(=O)C(NC(=O)OCc1ccccc1)c1ccccc1OC,5,0.7814806551371164,2.3702437978869,0.85,3.2258000000000013,73.86,-0.616606727573908,343.3790000000001,0.83594,0.83594,0.95327,0.81057
<rdkit.Chem.rdchem.Mol object at 0x7f9a79af2cf0>,CC(C)(C)c1cccc(S(=O)(=O)NCCN2C(=O)c3ccccc3C2=O)c1,5,0.8007552906024661,2.0930498703619307,0.88,2.558600000000001,83.55000000000001,-1.5581899047011778,386.47300000000007,0.83594,0.83594,0.95327,0.81057
<rdkit.Chem.rdchem.Mol object at 0x7f9a79af2dd0>,Cc1ccccc1-c1noc(CCCC(=O)O)n1,5,0.8764086022726163,1.9377556974851267,0.9,2.4523199999999994,76.22,-1.5040025539780997,246.26599999999996,0.83594,0.83594,0.95327,0.81057
